Absolute results
****************
==================================  ==========  ==========  =========  ==========  ======  ========  ===========
..                                    vexriscv    picorv32    minerva    cv32e40p    lm32    mor1kx    microwatt
==================================  ==========  ==========  =========  ==========  ======  ========  ===========
aha-mont64                                5470       29150      60008       12748    8030      7877         3370
crc32                                     5403       26656      49102       13942    5928      6447        10984
cubic                                     8304       33473      50926       15170   21312     15642         7162
edn                                       4645       39623      18502       13657    5651      7001        18916
huffbench                                 4047       14768      29610       12243    3913      4075         8913
matmult-int                               4942       30685      15122       14383    6280      6310        22846
minver                                    8695       30292      46744       14974   12388     11619        11736
nbody                                     5433       19959      32293        9556   12143      8699         4136
nettle-aes                                6940       24169      66645       14634    6981      6306         9722
nettle-sha256                             7812       27012      82598       15765    9762      7772         7277
nsichneu                                 13018       13194      21905       12107   10162     11444        20578
picojpeg                                  5772       25365      42951       14874    6017      5885        11309
qrduino                                   3952       17613      48182       10871    4162      4426         7610
sglib-combined                            4448       14083      21943       11467    5749      5356         9215
slre                                      4039       14020      20828       10442    4691      4719         8219
st                                        7487       31484      49828       14983   21517     14734         4608
statemate                                 4875       12332      20229       11523    4792      3971         9308
ud                                        7378       28014      31040       15581   12575      9315        15692
wikisort                                  2800       11022      13924        6551    5729      4827         5068
speed geometric mean                      5706       21746      33474       12660    7722      7077         9082
speed geometric standard deviation        1.42        1.47       1.67        1.24    1.64       1.5         1.68
==================================  ==========  ==========  =========  ==========  ======  ========  ===========
