Relative results
****************
==================================  ==========  ==========  =========  ==========  ======  ========  ===========
..                                    vexriscv    picorv32    minerva    cv32e40p    lm32    mor1kx    microwatt
==================================  ==========  ==========  =========  ==========  ======  ========  ===========
aha-mont64                                0.73        0.14       0.07        0.31     0.5      0.51         1.19
crc32                                     0.74        0.15       0.08        0.29    0.68      0.62         0.37
cubic                                     0.47        0.12       0.08        0.26    0.18      0.25         0.55
edn                                       0.86         0.1       0.22        0.29    0.71      0.57         0.21
huffbench                                 1.02        0.28       0.14        0.34    1.05      1.01         0.46
matmult-int                               0.81        0.13       0.26        0.28    0.63      0.63         0.17
minver                                    0.46        0.13       0.09        0.27    0.32      0.34         0.34
nbody                                     0.52        0.14       0.09        0.29    0.23      0.32         0.68
nettle-aes                                0.58        0.17       0.06        0.28    0.58      0.64         0.41
nettle-sha256                             0.51        0.15       0.05        0.25    0.41      0.51         0.55
nsichneu                                  0.31         0.3       0.18        0.33    0.39      0.35         0.19
picojpeg                                   0.7        0.16       0.09        0.27    0.67      0.68         0.36
qrduino                                   1.08        0.24       0.09        0.39    1.02      0.96         0.56
sglib-combined                            0.89        0.28       0.18        0.35    0.69      0.74         0.43
slre                                      0.99        0.29       0.19        0.38    0.85      0.85         0.49
st                                        0.54        0.13       0.08        0.27    0.19      0.28         0.89
statemate                                 0.82        0.32        0.2        0.35    0.83      1.01         0.43
ud                                        0.54        0.14       0.13        0.26    0.32      0.43         0.25
wikisort                                  0.99        0.25        0.2        0.42    0.49      0.58         0.55
speed geometric mean                      0.68        0.18       0.12        0.31     0.5      0.55         0.43
speed geometric standard deviation        1.39        1.44       1.63        1.16    1.68      1.52         1.62
==================================  ==========  ==========  =========  ==========  ======  ========  ===========
